product_id,name,category,price,sale_id,quantity,sale_date,total_price,month,month_name,week
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,1,1,2026-04-14,109.95,4,April,16
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,2,3,2026-04-16,329.85,4,April,16
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,3,5,2026-05-03,549.75,5,May,18
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,4,5,2026-04-27,549.75,4,April,18
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,5,1,2026-04-10,109.95,4,April,15
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,6,4,2026-05-01,439.8,5,May,18
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,7,1,2026-05-05,109.95,5,May,19
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,8,2,2026-04-13,219.9,4,April,16
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,9,4,2026-05-04,439.8,5,May,19
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,10,3,2026-04-15,329.85,4,April,16
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,11,2,2026-04-16,219.9,4,April,16
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,12,3,2026-05-01,329.85,5,May,18
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,109.95,13,3,2026-04-22,329.85,4,April,17
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,14,4,2026-05-03,89.2,5,May,18
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,15,3,2026-04-24,66.9,4,April,17
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,16,1,2026-04-27,22.3,4,April,18
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,17,4,2026-04-26,89.2,4,April,17
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,18,5,2026-04-14,111.5,4,April,16
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,19,1,2026-04-12,22.3,4,April,15
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,20,3,2026-04-11,66.9,4,April,15
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,21,3,2026-04-29,66.9,4,April,18
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,22,5,2026-04-15,111.5,4,April,16
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,23,1,2026-04-30,22.3,4,April,18
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,24,4,2026-04-29,89.2,4,April,18
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,25,2,2026-04-21,44.6,4,April,17
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,26,4,2026-04-23,89.2,4,April,17
2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,22.3,27,3,2026-04-12,66.9,4,April,15
3,Mens Cotton Jacket,men's clothing,55.99,28,3,2026-04-11,167.97,4,April,15
3,Mens Cotton Jacket,men's clothing,55.99,29,3,2026-04-22,167.97,4,April,17
3,Mens Cotton Jacket,men's clothing,55.99,30,2,2026-04-18,111.98,4,April,16
3,Mens Cotton Jacket,men's clothing,55.99,31,5,2026-04-16,279.95,4,April,16
3,Mens Cotton Jacket,men's clothing,55.99,32,2,2026-05-08,111.98,5,May,19
3,Mens Cotton Jacket,men's clothing,55.99,33,3,2026-05-02,167.97,5,May,18
3,Mens Cotton Jacket,men's clothing,55.99,34,3,2026-05-09,167.97,5,May,19
3,Mens Cotton Jacket,men's clothing,55.99,35,1,2026-04-15,55.99,4,April,16
3,Mens Cotton Jacket,men's clothing,55.99,36,5,2026-04-25,279.95,4,April,17
3,Mens Cotton Jacket,men's clothing,55.99,37,2,2026-04-13,111.98,4,April,16
3,Mens Cotton Jacket,men's clothing,55.99,38,4,2026-04-23,223.96,4,April,17
3,Mens Cotton Jacket,men's clothing,55.99,39,1,2026-04-09,55.99,4,April,15
3,Mens Cotton Jacket,men's clothing,55.99,40,2,2026-04-14,111.98,4,April,16
3,Mens Cotton Jacket,men's clothing,55.99,41,5,2026-04-14,279.95,4,April,16
3,Mens Cotton Jacket,men's clothing,55.99,42,5,2026-04-11,279.95,4,April,15
4,Mens Casual Slim Fit,men's clothing,15.99,43,3,2026-04-13,47.97,4,April,16
4,Mens Casual Slim Fit,men's clothing,15.99,44,4,2026-04-27,63.96,4,April,18
4,Mens Casual Slim Fit,men's clothing,15.99,45,2,2026-05-06,31.98,5,May,19
4,Mens Casual Slim Fit,men's clothing,15.99,46,3,2026-04-30,47.97,4,April,18
4,Mens Casual Slim Fit,men's clothing,15.99,47,4,2026-04-13,63.96,4,April,16
4,Mens Casual Slim Fit,men's clothing,15.99,48,3,2026-05-01,47.97,5,May,18
4,Mens Casual Slim Fit,men's clothing,15.99,49,4,2026-05-03,63.96,5,May,18
4,Mens Casual Slim Fit,men's clothing,15.99,50,5,2026-05-01,79.95,5,May,18
4,Mens Casual Slim Fit,men's clothing,15.99,51,2,2026-04-26,31.98,4,April,17
4,Mens Casual Slim Fit,men's clothing,15.99,52,4,2026-04-28,63.96,4,April,18
4,Mens Casual Slim Fit,men's clothing,15.99,53,2,2026-05-04,31.98,5,May,19
4,Mens Casual Slim Fit,men's clothing,15.99,54,5,2026-04-18,79.95,4,April,16
4,Mens Casual Slim Fit,men's clothing,15.99,55,4,2026-04-17,63.96,4,April,16
4,Mens Casual Slim Fit,men's clothing,15.99,56,1,2026-04-19,15.99,4,April,16
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,57,1,2026-04-15,695.0,4,April,16
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,58,3,2026-04-14,2085.0,4,April,16
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,59,5,2026-04-20,3475.0,4,April,17
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,60,2,2026-04-23,1390.0,4,April,17
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,61,5,2026-05-02,3475.0,5,May,18
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,62,5,2026-05-03,3475.0,5,May,18
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,63,3,2026-05-08,2085.0,5,May,19
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,64,2,2026-04-13,1390.0,4,April,16
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,65,1,2026-05-09,695.0,5,May,19
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,66,5,2026-05-07,3475.0,5,May,19
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,67,2,2026-04-25,1390.0,4,April,17
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,68,5,2026-04-10,3475.0,4,April,15
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,69,5,2026-04-18,3475.0,4,April,16
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,70,3,2026-04-23,2085.0,4,April,17
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,71,1,2026-05-02,695.0,5,May,18
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,72,2,2026-04-20,1390.0,4,April,17
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,73,3,2026-04-17,2085.0,4,April,16
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,74,1,2026-04-29,695.0,4,April,18
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,75,4,2026-04-23,2780.0,4,April,17
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,76,2,2026-04-28,1390.0,4,April,18
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,77,1,2026-05-08,695.0,5,May,19
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,78,2,2026-04-29,1390.0,4,April,18
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,79,3,2026-05-05,2085.0,5,May,19
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,80,2,2026-04-22,1390.0,4,April,17
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,695.0,81,5,2026-04-13,3475.0,4,April,16
6,Solid Gold Petite Micropave ,jewelery,168.0,82,4,2026-04-13,672.0,4,April,16
6,Solid Gold Petite Micropave ,jewelery,168.0,83,3,2026-04-10,504.0,4,April,15
6,Solid Gold Petite Micropave ,jewelery,168.0,84,1,2026-04-20,168.0,4,April,17
6,Solid Gold Petite Micropave ,jewelery,168.0,85,2,2026-04-25,336.0,4,April,17
6,Solid Gold Petite Micropave ,jewelery,168.0,86,4,2026-04-15,672.0,4,April,16
6,Solid Gold Petite Micropave ,jewelery,168.0,87,5,2026-04-18,840.0,4,April,16
6,Solid Gold Petite Micropave ,jewelery,168.0,88,2,2026-05-07,336.0,5,May,19
6,Solid Gold Petite Micropave ,jewelery,168.0,89,5,2026-05-08,840.0,5,May,19
6,Solid Gold Petite Micropave ,jewelery,168.0,90,3,2026-04-13,504.0,4,April,16
6,Solid Gold Petite Micropave ,jewelery,168.0,91,2,2026-04-18,336.0,4,April,16
6,Solid Gold Petite Micropave ,jewelery,168.0,92,5,2026-04-29,840.0,4,April,18
6,Solid Gold Petite Micropave ,jewelery,168.0,93,1,2026-04-15,168.0,4,April,16
6,Solid Gold Petite Micropave ,jewelery,168.0,94,4,2026-04-27,672.0,4,April,18
6,Solid Gold Petite Micropave ,jewelery,168.0,95,5,2026-04-12,840.0,4,April,15
